26. July 2010 | 12:46:47 | Current JunkBuster configuration:
26. July 2010 | 12:46:47 | - WeaponHack = 1
26. July 2010 | 12:46:47 | - MoneyHack = 1
26. July 2010 | 12:46:47 | - Jetpack = 1
26. July 2010 | 12:46:47 | - HealthHack = 1
26. July 2010 | 12:46:47 | - ArmourHack = 1
26. July 2010 | 12:46:47 | - DriveBy = 1
26. July 2010 | 12:46:47 | - Spam = 0
26. July 2010 | 12:46:47 | - CommandSpam = 0
26. July 2010 | 12:46:47 | - BadWords = 0
26. July 2010 | 12:46:47 | - CarJackHack = 1
26. July 2010 | 12:46:47 | - TeleportHack = 1
26. July 2010 | 12:46:47 | - MaxPing = 500
26. July 2010 | 12:46:47 | - SpectateHack = 0
26. July 2010 | 12:46:47 | - Blacklist = 1
26. July 2010 | 12:46:47 | - IpBans = 1
26. July 2010 | 12:46:47 | - TempBans = 1
26. July 2010 | 12:46:47 | - SpawnKill = 3
26. July 2010 | 12:46:47 | - CapsLock = 0
26. July 2010 | 12:46:47 | - 3DSpeed = 0
26. July 2010 | 12:46:47 | - MaxSpeed = 220
26. July 2010 | 12:46:47 | - AdminImmunity = 1
26. July 2010 | 12:46:47 | - Advertisement = 1
26. July 2010 | 12:46:47 | - FreezeUpdate = 0
26. July 2010 | 12:46:47 | - SpawnTime = 10
26. July 2010 | 12:46:47 | - CheckpointTeleport = 1
26. July 2010 | 12:46:47 | - Airbreak = 1
26. July 2010 | 12:46:47 | - TankMode = 1
26. July 2010 | 12:46:47 | - WarnPlayers = 0
26. July 2010 | 12:46:47 | 1 IP-bans have been loaded.
26. July 2010 | 12:46:47 | 1 temporary bans have been loaded.
26. July 2010 | 12:46:47 | 5 whitelist entries have been loaded.
26. July 2010 | 12:46:47 | 4 blacklist entries have been loaded.
26. July 2010 | 12:46:47 | 41 bad words have been loaded.
26. July 2010 | 12:46:47 | 4 forbidden weapons have been loaded.
26. July 2010 | 12:46:47 | JunkBuster has been configurated.
26. July 2010 | 12:46:47 | JunkBuster has successfully been loaded.
26. July 2010 | 12:49:03 | Suspected player with speedhack: Markus (3), 318 KM/H with Moonbeam.
26. July 2010 | 12:49:07 | Suspected player with speedhack: Markus (3), 318 KM/H with Moonbeam.
26. July 2010 | 12:49:42 | Suspected player with teleport cheats: Markus (3), Jefferson.
26. July 2010 | 12:49:47 | Suspected player with airbreak: Markus (3), height: 72.15, ~672 KM/H, vehicle: Moonbeam.
26. July 2010 | 12:52:57 | Current JunkBuster configuration:
26. July 2010 | 12:52:57 | - WeaponHack = 1
26. July 2010 | 12:52:57 | - MoneyHack = 1
26. July 2010 | 12:52:57 | - Jetpack = 1
26. July 2010 | 12:52:57 | - HealthHack = 1
26. July 2010 | 12:52:57 | - ArmourHack = 1
26. July 2010 | 12:52:57 | - DriveBy = 1
26. July 2010 | 12:52:57 | - Spam = 0
26. July 2010 | 12:52:57 | - CommandSpam = 0
26. July 2010 | 12:52:57 | - BadWords = 0
26. July 2010 | 12:52:57 | - CarJackHack = 1
26. July 2010 | 12:52:57 | - TeleportHack = 1
26. July 2010 | 12:52:57 | - MaxPing = 500
26. July 2010 | 12:52:57 | - SpectateHack = 0
26. July 2010 | 12:52:57 | - Blacklist = 1
26. July 2010 | 12:52:57 | - IpBans = 1
26. July 2010 | 12:52:57 | - TempBans = 1
26. July 2010 | 12:52:57 | - SpawnKill = 3
26. July 2010 | 12:52:57 | - CapsLock = 0
26. July 2010 | 12:52:57 | - 3DSpeed = 0
26. July 2010 | 12:52:57 | - MaxSpeed = 220
26. July 2010 | 12:52:57 | - AdminImmunity = 1
26. July 2010 | 12:52:57 | - Advertisement = 1
26. July 2010 | 12:52:57 | - FreezeUpdate = 0
26. July 2010 | 12:52:57 | - SpawnTime = 10
26. July 2010 | 12:52:57 | - CheckpointTeleport = 1
26. July 2010 | 12:52:57 | - Airbreak = 1
26. July 2010 | 12:52:57 | - TankMode = 1
26. July 2010 | 12:52:57 | - WarnPlayers = 0
26. July 2010 | 12:52:57 | 1 IP-bans have been loaded.
26. July 2010 | 12:52:57 | 1 temporary bans have been loaded.
26. July 2010 | 12:52:57 | 5 whitelist entries have been loaded.
26. July 2010 | 12:52:57 | 4 blacklist entries have been loaded.
26. July 2010 | 12:52:57 | 41 bad words have been loaded.
26. July 2010 | 12:52:57 | 4 forbidden weapons have been loaded.
26. July 2010 | 12:52:57 | JunkBuster has been configurated.
26. July 2010 | 12:52:57 | JunkBuster has successfully been loaded.
26. July 2010 | 13:12:07 | Current JunkBuster configuration:
26. July 2010 | 13:12:07 | - WeaponHack = 1
26. July 2010 | 13:12:07 | - MoneyHack = 1
26. July 2010 | 13:12:07 | - Jetpack = 1
26. July 2010 | 13:12:07 | - HealthHack = 1
26. July 2010 | 13:12:07 | - ArmourHack = 1
26. July 2010 | 13:12:08 | - DriveBy = 1
26. July 2010 | 13:12:08 | - Spam = 0
26. July 2010 | 13:12:08 | - CommandSpam = 0
26. July 2010 | 13:12:08 | - BadWords = 0
26. July 2010 | 13:12:08 | - CarJackHack = 1
26. July 2010 | 13:12:08 | - TeleportHack = 1
26. July 2010 | 13:12:08 | - MaxPing = 500
26. July 2010 | 13:12:08 | - SpectateHack = 0
26. July 2010 | 13:12:08 | - Blacklist = 1
26. July 2010 | 13:12:08 | - IpBans = 1
26. July 2010 | 13:12:08 | - TempBans = 1
26. July 2010 | 13:12:08 | - SpawnKill = 3
26. July 2010 | 13:12:08 | - CapsLock = 0
26. July 2010 | 13:12:08 | - 3DSpeed = 0
26. July 2010 | 13:12:08 | - MaxSpeed = 220
26. July 2010 | 13:12:08 | - AdminImmunity = 1
26. July 2010 | 13:12:08 | - Advertisement = 1
26. July 2010 | 13:12:08 | - FreezeUpdate = 0
26. July 2010 | 13:12:08 | - SpawnTime = 10
26. July 2010 | 13:12:08 | - CheckpointTeleport = 1
26. July 2010 | 13:12:08 | - Airbreak = 1
26. July 2010 | 13:12:08 | - TankMode = 1
26. July 2010 | 13:12:08 | - WarnPlayers = 0
26. July 2010 | 13:12:08 | 1 IP-bans have been loaded.
26. July 2010 | 13:12:08 | 1 temporary bans have been loaded.
26. July 2010 | 13:12:08 | 5 whitelist entries have been loaded.
26. July 2010 | 13:12:08 | 4 blacklist entries have been loaded.
26. July 2010 | 13:12:08 | 41 bad words have been loaded.
26. July 2010 | 13:12:08 | 4 forbidden weapons have been loaded.
26. July 2010 | 13:12:08 | JunkBuster has been configurated.
26. July 2010 | 13:12:08 | JunkBuster has successfully been loaded.
26. July 2010 | 13:20:07 | Current JunkBuster configuration:
26. July 2010 | 13:20:07 | - WeaponHack = 1
26. July 2010 | 13:20:07 | - MoneyHack = 1
26. July 2010 | 13:20:07 | - Jetpack = 1
26. July 2010 | 13:20:07 | - HealthHack = 1
26. July 2010 | 13:20:07 | - ArmourHack = 1
26. July 2010 | 13:20:07 | - DriveBy = 1
26. July 2010 | 13:20:07 | - Spam = 0
26. July 2010 | 13:20:07 | - CommandSpam = 0
26. July 2010 | 13:20:07 | - BadWords = 0
26. July 2010 | 13:20:07 | - CarJackHack = 1
26. July 2010 | 13:20:07 | - TeleportHack = 1
26. July 2010 | 13:20:07 | - MaxPing = 500
26. July 2010 | 13:20:07 | - SpectateHack = 0
26. July 2010 | 13:20:07 | - Blacklist = 1
26. July 2010 | 13:20:07 | - IpBans = 1
26. July 2010 | 13:20:07 | - TempBans = 1
26. July 2010 | 13:20:07 | - SpawnKill = 3
26. July 2010 | 13:20:07 | - CapsLock = 0
26. July 2010 | 13:20:07 | - 3DSpeed = 0
26. July 2010 | 13:20:07 | - MaxSpeed = 220
26. July 2010 | 13:20:07 | - AdminImmunity = 1
26. July 2010 | 13:20:07 | - Advertisement = 1
26. July 2010 | 13:20:07 | - FreezeUpdate = 0
26. July 2010 | 13:20:07 | - SpawnTime = 10
26. July 2010 | 13:20:07 | - CheckpointTeleport = 1
26. July 2010 | 13:20:07 | - Airbreak = 1
26. July 2010 | 13:20:07 | - TankMode = 1
26. July 2010 | 13:20:07 | - WarnPlayers = 0
26. July 2010 | 13:20:07 | 1 IP-bans have been loaded.
